ID	LEXIBANK_ID	SUBGROUP	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	COGID	TONE_CLASS	TONE_VALUE	RATLIFF_LANGUAGE	RATLIFF_TOKENS	RATLIFF_INDEX	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	STRICT_COGID	LOOSE_COGID	ALIGNMENT	STRUCTURE	CROSSIDS	NETWORK_COGID	MORPHEMES	NETWORK2COGID
16	WesternLuobuohe-15_ash-1	Hmongic	ASH	ash	灰	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + tsʰ u ⁵⁵	646	537	轻声 上.*阴平.*上	⁰² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1	1 7 8 9 2 7 8	AXT_AXT	HE6_CY5	10	10.H.C 10.E.V 10.6.T 10._._ 10.C.C 10.Y.V 10.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔə⁰/²+tsʰu⁵⁵	0	22 23	10	3	ʔ - ə ⁰/² + tsʰ u ⁵⁵	i n t + i n t	22 23	9	_ash ASH	23
17	SouthernGuizhouChuanqiandian-15_ash-1	Hmongic	ASH	ash	灰	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	s ɔ ²²	646	537	阴平乙	²²	CentralMashanHmong	s ɔ ³ᵇ/³	0	3 7 8	AXT	SU1	8	8.S.C 8.U.V 8.1.T	1.6 3.0 1.0	sɔ²²	0	25	11	4	s ɔ ²²	i n t	25	12	ASH	25
18	WesternXiangxi-15_ash-1	Hmongic	ASH	ash	灰	WesternXiangxi	Xiangxi, West	west2430	ɕ i ⁴⁴	646	537	阴上.阴入.*阴平	⁴⁴	WesternXiangxiMiao	ɕ i ³	0	3 7 8	AXT	SI5	11	11.S.C 11.I.V 11.5.T	1.6 3.0 1.0	ɕi⁴⁴	0	21	9	3	ɕ i ⁴⁴	i n t	5907	8	ASH	21
19	NorthernQiandong-15_ash-1	Hmongic	ASH	ash	灰	NorthernQiandong	Qiandong, North	nort2747	q a ³⁵ + ɕʰ u ³⁵	646	537	阴上 阴上	³⁵ ³⁵	NorthernQiandongMiao	ɕʰ u ³	1	1 7 8 9 3 7 8	AXT_AXT	KA2_SY2	7	7.K.C 7.A.V 7.2.T 7._._ 7.S.C 7.Y.V 7.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa³⁵+ɕʰu³⁵	0	24 23	12	3	q - a ³⁵ + ɕʰ u ³⁵	i n t + i n t	24 23	9	_ash ASH	23
20	WesternBaheng-15_ash-1	Hmongic	ASH	ash	灰	WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + s i ³¹	646	537	轻声 阴上	⁰³ ³¹	PaHng	ɕ i ³	1	1 7 8 9 3 7 8	AXT_AXT	KA6_SI3	9	9.K.C 9.A.V 9.6.T 9._._ 9.S.C 9.I.V 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa⁰/³+si³¹	0	24 21	13	3	q - a ⁰/³ + s i ³¹	i n t + i n t	24 5907	8	_ash ASH	21
21	EasternBaheng-15_ash-1	Hmongic	ASH	ash	灰	EasternBaheng	Baheng, East	pahn1237	ɕ i ³¹³	646	537	阴上.*阴上	³¹³	PaHng	ɕ i ³	0	3 7 8	AXT	SI6	2	2.S.C 2.I.V 2.6.T	1.6 3.0 1.0	ɕi³¹³	0	21	9	3	ɕ i ³¹³	i n t	5907	8	ASH	21
22	Jiongnai-15_ash-1	Hmongic	ASH	ash	灰	Jiongnai	Jiongnai	jion1236	θ ei ⁵³	646	537	阴上.*上	⁵³	JiongnaiBunu	θ e ³	0	3 7 8	AXT	DE3	4	4.D.C 4.E.V 4.3.T	1.6 3.0 1.0	θei⁵³	0	21	9	3	θ ei ⁵³	i n t	5907	8	ASH	21
23	Mien-15_ash-1	Mienic	ASH	ash	灰	Mien	Mien	iumi1238	s aːi ⁵³	646	537	阴上	⁵³	luMien	ɕ w ai ³	0	3 7 8	AXT	SA3	6	6.S.C 6.A.V 6.3.T	1.6 3.0 1.0	saːi⁵³	0	21	9	3	s aːi ⁵³	i n t	5907	8	ASH	21
24	KimMun-15_ash-1	Mienic	ASH	ash	灰	KimMun	Kim Mun	kimm1245	ʃ aːi ⁵¹	646	537	上声.清.气.*上	⁵¹	KimMun	s aːi ³	0	3 7 8	AXT	SA3	5	5.S.C 5.A.V 5.3.T	1.6 3.0 1.0	ʃaːi⁵¹	0	21	9	3	ʃ aːi ⁵¹	i n t	5907	8	ASH	21
25	BiaoMin-15_ash-1	Mienic	ASH	ash	灰	BiaoMin	Biao Min	biao1254	s ai ³⁵	646	537	阴上	³⁵	BiaoMon	s w ai ³	0	3 7 8	AXT	SA2	1	1.S.C 1.A.V 1.2.T	1.6 3.0 1.0	sai³⁵	0	21	9	3	s ai ³⁵	i n t	5907	8	ASH	21
26	ZaoMin-15_ash-1	Mienic	ASH	ash	灰	ZaoMin	Zao Min	dzao1238	s oi ²⁴	646	537	阴上.*阳平	²⁴	DzaoMin	s ɔi ³	0	3 7 8	AXT	SU2	13	13.S.C 13.U.V 13.2.T	1.6 3.0 1.0	soi²⁴	0	21	9	3	s oi ²⁴	i n t	5907	8	ASH	21
27	WhiteHmong-1167_toask1-1	Hmongic	ASK (INQUIRE)	to ask(1)		WhiteHmong	White Hmong	hmon1333	n u ³¹	1309	309	².⁴.⁶	³¹	HmongDaw	n u ⁶/¹³	0	4 7 8	AXT	NY3	12	12.N.C 12.Y.V 12.3.T	1.6 3.0 1.0	nu³¹	0	39	14	5	n u - ³¹	i n t	39	13	ASK	39
28	EasternLuobuohe-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	EasternLuobuohe	Luobuohe, Eastern	luop1235	n a ²⁴	1309	309	去.*去	²⁴	Luopohe	n a ᶜ/³	0	4 7 8	AXT	NA2	3	3.N.C 3.A.V 3.2.T	1.6 3.0 1.0	na²⁴	0	39	14	5	n a - ²⁴	i n t	39	13	ASK	39
29	WesternLuobuohe-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternLuobuohe	Luobuohe, Western	luop1235	n ɑ ³⁵	1309	309	去.*去	³⁵	Luopohe	n a ᶜ/³	0	4 7 8	AXT	NA2	10	10.N.C 10.A.V 10.2.T	1.6 3.0 1.0	nɑ³⁵	0	39	14	5	n ɑ - ³⁵	i n t	39	13	ASK	39
30	SouthernGuizhouChuanqiandian-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	n o ŋ ¹³	1309	309	阳去.阴入乙.*去	¹³	CentralMashanHmong	n o ŋ ⁶/¹³	0	4 7 4 8	AXLT	NUN2	8	8.N.C 8.U.V 8.N.c 8.2.T	1.6 3.0 1.1 1.0	noŋ¹³	0	39	14	5	n o ŋ ¹³	i n c t	39	13	ASK	39
31	WesternXiangxi-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternXiangxi	Xiangxi, West	west2430	n e ⁴²	1309	309	*不明	⁴²	WesternXiangxiMiao	n e ⁶/¹³	0	4 7 8	AXT	NE3	11	11.N.C 11.E.V 11.3.T	1.6 3.0 1.0	ne⁴²	0	39	14	5	n e - ⁴²	i n t	39	13	ASK	39
32	NorthernQiandong-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	NorthernQiandong	Qiandong, North	nort2747	n ɛ ¹³	1309	309	阴入.*去	¹³	NorthernQiandongMiao	n ɛ ⁶/¹³	0	4 7 8	AXT	NE2	7	7.N.C 7.E.V 7.2.T	1.6 3.0 1.0	nɛ¹³	0	39	14	5	n ɛ - ¹³	i n t	39	13	ASK	39
33	WesternBaheng-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternBaheng	Baheng, West	pahn1237	n ei ⁴⁴	1309	309	阳去	⁴⁴	PaHng	n ɪ̃ ⁶/¹³	0	4 7 8	AXT	NE5	9	9.N.C 9.E.V 9.5.T	1.6 3.0 1.0	nei⁴⁴	0	39	14	5	n ei - ⁴⁴	i n t	39	13	ASK	39
34	EasternBaheng-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	EasternBaheng	Baheng, East	pahn1237	n e ³¹	1309	309	阳去.阳入	³¹	PaHng	n ɪ̃ ⁶/¹³	0	4 7 8	AXT	NE3	2	2.N.C 2.E.V 2.3.T	1.6 3.0 1.0	ne³¹	0	39	14	5	n e - ³¹	i n t	39	13	ASK	39
35	Jiongnai-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	Jiongnai	Jiongnai	jion1236	n o ¹¹	1309	309	阳去	¹¹	JiongnaiBunu	n ɔ ⁶/¹³	0	4 7 8	AXT	NU1	4	4.N.C 4.U.V 4.1.T	1.6 3.0 1.0	no¹¹	0	39	14	5	n o - ¹¹	i n t	39	13	ASK	39
36	Mien-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	Mien	Mien	iumi1238	n aːi ²¹	1309	313	阳去	²¹	luMien	n aːi ⁶/¹³	0	4 7 8	AXT	NA3	6	6.N.C 6.A.V 6.3.T	1.6 3.0 1.0	naːi²¹	0	39	14	5	n aːi - ²¹	i n t	39	13	ASK	39
37	KimMun-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	KimMun	Kim Mun	kimm1245	n aːi ⁴²	1309	313	去声.浊.入声.浊	⁴²	KimMun	n aːi ⁶/¹³	0	4 7 8	AXT	NA3	5	5.N.C 5.A.V 5.3.T	1.6 3.0 1.0	naːi⁴²	0	39	14	5	n aːi - ⁴²	i n t	39	13	ASK	39
38	BiaoMin-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	BiaoMin	Biao Min	biao1254	n a ⁴²	1309	313	阳上.阳去	⁴²	BiaoMon	n a ⁶/¹³	0	4 7 8	AXT	NA3	1	1.N.C 1.A.V 1.3.T	1.6 3.0 1.0	na⁴²	0	39	14	5	n a - ⁴²	i n t	39	13	ASK	39
39	ZaoMin-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	ZaoMin	Zao Min	dzao1238	n oi ²²	1309	313	阳去.阳入	²²	DzaoMin	n ɔi ⁶/¹³	0	4 7 8	AXT	NU1	13	13.N.C 13.U.V 13.1.T	1.6 3.0 1.0	noi²²	0	39	14	5	n oi - ²²	i n t	39	13	ASK	39
40	EasternLuobuohe-476_on-1	Hmongic	ATOP	on	上边	EasternLuobuohe	Luobuohe, Eastern	luop1235	p ə ⁰/⁵ + s a ³³	57	359	轻声 入.*阴平	⁰⁵ ³³	Luopohe	s a ᴬ/¹	1	1 7 8 9 3 7 8	AXT_AXT	PE6_SA4	3	3.P.C 3.E.V 3.6.T 3._._ 3.S.C 3.A.V 3.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pə⁰/⁵+sa³³	0	56 54	15	6	p ə ⁰/⁵ + s a ³³	i n t + i n t	56 54	15	_atop ATOP	54
41	WesternLuobuohe-476_on-1	Hmongic	ATOP	on	上边	WesternLuobuohe	Luobuohe, Western	luop1235	χ ə ⁵⁵ + s ɑ ³¹	57	359	上.*阴平.*上 平.入.*阳平	⁵⁵ ³¹	Luopohe	s a ᴬ/¹	1	3 7 8 9 3 7 8	AXT_AXT	GE5_SA3	10	10.G.C 10.E.V 10.5.T 10._._ 10.S.C 10.A.V 10.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	χə⁵⁵+sɑ³¹	0	53 54	16	6	χ ə ⁵⁵ + s ɑ ³¹	i n t + i n t	53 54	14	ATOP _atop	54
42	SouthernGuizhouChuanqiandian-476_on-1	Hmongic	ATOP	on	上边	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ¹³ + p e ¹¹	57	359	阳去.阴入乙.*去 阳上	¹³ ¹¹	CentralMashanHmong	s a ¹ᵇ/¹	0	2 7 4 8 9 1 7 8	AXLT_AXT	CAN2_PE1	8	8.C.C 8.A.V 8.N.c 8.2.T 8._._ 8.P.C 8.E.V 8.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕaŋ¹³+pe¹¹	0	62 56	17	6	tɕ a ŋ ¹³ + p e ¹¹	i n c t + i n t	62 56	17	_atop ATOP	62
43	SouthernGuizhouChuanqiandian-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	h u/w ei ³² + tɕ ə ¹³	1146	585	阴平甲 阳去.阴入乙.*去	³² ¹³	CentralMashanHmong	tɕ əa ⁶/¹³	1	3 6 7 8 9 2 7 8	ACXT_AXT	HWE3_CE2	8	8.H.C 8.W.C 8.E.V 8.3.T 8._._ 8.C.C 8.E.V 8.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	hu/wei³²+tɕə¹³	0	87 80	28	9	h u/w ei ³² + tɕ ə ¹³	i m n t + i n t	87 80	28	_aubergine AUBERGINE	80
44	NorthernQiandong-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	NorthernQiandong	Qiandong, North	nort2747	tɕ a ⁵⁵	1146	585	*不明	⁵⁵	NorthernQiandongMiao	tɕ a ²	0	2 7 8	AXT	CA5	7	7.C.C 7.A.V 7.5.T	1.6 3.0 1.0	tɕa⁵⁵	0	80	30	9	tɕ a ⁵⁵	i n t	80	28	AUBERGINE	80
45	Mien-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	Mien	Mien	iumi1238	tɕ e ³¹	1146	585	阳平	³¹	luMien	tɕ e ²	0	2 7 8	AXT	CE3	6	6.C.C 6.E.V 6.3.T	1.6 3.0 1.0	tɕe³¹	0	80	30	9	tɕ e ³¹	i n t	80	28	AUBERGINE	80
46	BiaoMin-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	BiaoMin	Biao Min	biao1254	t j a ³¹	1146	585	阳平.*阳平	³¹	BiaoMon	ȶ a ²	0	1 6 7 8	ACXT	TJA3	1	1.T.C 1.J.C 1.A.V 1.3.T	1.6 1.2 3.0 1.0	tja³¹	0	79	34	9	t j a - ³¹	i m n t	1556	29	AUBERGINE	79
47	ZaoMin-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	ZaoMin	Zao Min	dzao1238	tɕ a ⁵³	1146	585	阳平.*去	⁵³	DzaoMin	k j ɛ ²	0	2 7 8	AXT	CA3	13	13.C.C 13.A.V 13.3.T	1.6 3.0 1.0	tɕa⁵³	0	80	30	9	tɕ a ⁵³	i n t	80	28	AUBERGINE	80
48	WhiteHmong-656_theaxeax-1	Hmongic	AXE	the axe/ax		WhiteHmong	White Hmong	hmon1333	t au ¹¹	677	211	¹.³.⁴.⁷	¹¹	HmongDaw	t au ⁷/³	0	1 7 8	AXT	TA1	12	12.T.C 12.A.V 12.1.T	1.6 3.0 1.0	tau¹¹	0	106	35	12	t au ¹¹	i n t	106	42	AXE	106
49	EasternLuobuohe-336_axe-1	Hmongic	AXE	axe	斧子	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + t y ²⁴	677	211	轻声 去.*去	⁰² ²⁴	Luopohe	t u ᶜ/³	1	1 7 8 9 1 7 8	AXT_AXT	HA6_TY2	3	3.H.C 3.A.V 3.6.T 3._._ 3.T.C 3.Y.V 3.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔa⁰/²+ty²⁴	0	104 103	36	11	ʔ - a ⁰/² + t y ²⁴	i n t + i n t	22 3357	38	_axe AXE	103
50	WesternLuobuohe-336_axe-1	Hmongic	AXE	axe	斧子	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + t u ³⁵	677	211	轻声 去.*去	⁰² ³⁵	Luopohe	t u ᶜ/³	1	1 7 8 9 1 7 8	AXT_AXT	HE6_TY2	10	10.H.C 10.E.V 10.6.T 10._._ 10.T.C 10.Y.V 10.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔə⁰/²+tu³⁵	0	104 103	36	11	ʔ - ə ⁰/² + t u ³⁵	i n t + i n t	22 3357	38	_axe AXE	103
51	SouthernGuizhouChuanqiandian-336_axe-1	Hmongic	AXE	axe	斧子	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	t ɔ ⁵⁵	677	211	阴去甲.*阴平	⁵⁵	CentralMashanHmong	t ɔ ⁵ᵃ/⁵	0	1 7 8	AXT	TU5	8	8.T.C 8.U.V 8.5.T	1.6 3.0 1.0	tɔ⁵⁵	0	103	37	11	t ɔ ⁵⁵	i n t	3357	38	AXE	103
52	WesternXiangxi-336_axe-1	Hmongic	AXE	axe	斧子	WesternXiangxi	Xiangxi, West	west2430	q o ³⁵ + t ɔ ⁵³	677	211	阴平 *上	³⁵ ⁵³	WesternXiangxiMiao	t ɔ ⁵	1	1 7 8 9 1 7 8	AXT_AXT	KU2_TU3	11	11.K.C 11.U.V 11.2.T 11._._ 11.T.C 11.U.V 11.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qo³⁵+tɔ⁵³	0	105 103	38	11	q o ³⁵ + t ɔ ⁵³	i n t + i n t	105 3357	38	_axe AXE	103
53	NorthernQiandong-336_axe-1	Hmongic	AXE	axe	斧子	NorthernQiandong	Qiandong, North	nort2747	t o ⁴⁴	677	211	阴去	⁴⁴	NorthernQiandongMiao	t o ⁵	0	1 7 8	AXT	TU5	7	7.T.C 7.U.V 7.5.T	1.6 3.0 1.0	to⁴⁴	0	103	37	11	t o ⁴⁴	i n t	3357	38	AXE	103
54	WesternBaheng-336_axe-1	Hmongic	AXE	axe	斧子	WesternBaheng	Baheng, West	pahn1237	t ei ⁵⁵	677	211	阴去	⁵⁵	PaHng	t i ⁵	0	1 7 8	AXT	TE5	9	9.T.C 9.E.V 9.5.T	1.6 3.0 1.0	tei⁵⁵	0	103	37	11	t ei ⁵⁵	i n t	3357	38	AXE	103
55	EasternBaheng-336_axe-1	Hmongic	AXE	axe	斧子	EasternBaheng	Baheng, East	pahn1237	t i ⁵⁵	677	211	阴去.*阴平	⁵⁵	PaHng	t i ⁵	0	1 7 8	AXT	TI5	2	2.T.C 2.I.V 2.5.T	1.6 3.0 1.0	ti⁵⁵	0	103	37	11	t i ⁵⁵	i n t	3357	38	AXE	103
56	Jiongnai-336_axe-1	Hmongic	AXE	axe	斧子	Jiongnai	Jiongnai	jion1236	ð ei ³⁵	677	211	阴去.*去	³⁵	JiongnaiBunu	ð ei ⁵	0	3 7 8	AXT	DE2	4	4.D.C 4.E.V 4.2.T	1.6 3.0 1.0	ðei³⁵	0	103	37	11	ð ei ³⁵	i n t	3357	38	AXE	103
57	Mien-336_axe-1	Mienic	AXE	axe	斧子	Mien	Mien	iumi1238	p əu ⁵³	677	16	阴上	⁵³	luMien	p ou ³	0	1 7 8	AXT	PE3	6	6.P.C 6.E.V 6.3.T	1.6 3.0 1.0	pəu⁵³	0	102	39	10	p əu ⁵³	i n t	102	39	AXE	102
58	KimMun-336_axe-1	Mienic	AXE	axe	斧子	KimMun	Kim Mun	kimm1245	ˀp oːu ⁵¹	677	16	上声.清.气.*上	⁵¹	KimMun	p ɔu ³	0	1 7 8	AXT	PU3	5	5.P.C 5.U.V 5.3.T	1.6 3.0 1.0	ˀpoːu⁵¹	0	102	39	10	ˀp oːu ⁵¹	i n t	102	39	AXE	102
